ax_mean,ay_mean,az_mean,gx_mean,gy_mean,gz_mean,ax_var,ay_var,az_var,gx_var,gy_var,gz_var,ax_rms,ay_rms,az_rms,gx_rms,gy_rms,gz_rms,a_max,a_mean,a_min,g_max,g_mean,g_min,a_fft,g_fft,a_psd,g_psd,a_kurt,g_kurt,a_skewn,g_skewn,a_entropy,g_entropy
-1858.7543859649122,728.6666666666666,204.78070175438597,982.561403508772,-845.8070175438596,-101.89473684210526,148.1978473659355,146.42400845971724,145.71265195722745,1399.1361882457009,1718.6007414304365,1569.7558149159258,1857.9461023663323,741.987693187768,253.12854719195298,1718.8981731983315,1922.6792025164973,1572.0032922602907,1598.0,925.3070175438596,202.0,5686.0,1691.8947368421052,9.0,29140.643511450402,81591.34275366834,13286364153.568985,95582883137.65407,2.5773381235093504,3.6176978461879394,1.4132694770468224,132.065602116714,-0.05631016374308885,-0.055879197035330556
-1984.2782608695652,529.7478260869565,245.41739130434783,3320.6521739130435,-1644.904347826087,-1821.5304347826086,208.1450732076463,291.59201120250765,322.2002013525492,3490.7990809986063,2480.0974442400666,3031.979048147273,1988.2272330985668,600.898190031064,404.7514642667608,4820.815661636344,2980.145272210444,3539.0485530534283,2420.0,1209.1130434782608,780.0,8194.0,1578.8260869565217,5.0,-10417.350027220848,-33162.310033225694,661745070.9518332,6138463099.795339,5.124279477987344,5.707753942550672,196.5999759916649,215.958253154478,-0.05605163903797456,-0.0562034751883103
-1932.0869565217392,14.147826086956522,597.8608695652174,3941.939130434783,-528.6608695652174,-3038.113043478261,207.2827368970553,255.9548402817653,296.4423501749261,6822.4104303256745,3586.7313380043674,4922.612417934664,1936.193374280755,255.97386075789916,670.41270871009,7899.28902634529,3628.9885547401195,5819.479557635642,2284.0,1320.0782608695652,540.0,8850.0,3036.121739130435,9.0,-8609.64526260415,-21463.470912340304,239013779.07263765,1766340356.1753364,1.8477221971052438,3.1156580057380636,21.912351114776673,67.63898971917934,-0.05617052995210521,-0.056563969734719374
-3119.8521739130433,-1574.2,374.45217391304345,8018.51304347826,2766.7739130434784,-4320.643478260869,3099.117574236321,3608.94996840283,3075.592254735715,19527.803785222673,17808.02729047091,20296.762586110348,4396.086687636789,3940.013812599933,3097.2080807805232,21098.384099056126,18020.5169179828,20754.47264734918,27864.0,5100.330434782609,52.0,82076.0,21178.208695652174,96.0,-3215.018400479173,-14597.938870432716,124115108.61223602,1588536983.3095708,6.120271990712837,5.666939253632923,226.95534261942092,175.1261638157696,-0.05582253074239349,-0.05701075666671428
-3771.4347826086955,-1867.4173913043478,-13.930434782608696,8931.191304347825,4629.939130434783,-5028.626086956522,3604.7264350713417,4491.658215252343,3369.535548945893,19006.512729706184,12216.884901086487,19746.82756682755,5202.068691353971,4864.003435174703,3369.522066483871,20895.40109106599,13066.519954847763,20341.340060170034,28973.0,6004.991304347826,62.0,48164.0,16517.217391304348,459.0,-5026.9520734862745,-26823.443466728142,84537337.93043455,1622325811.605698,5.1781493043660705,1.9550406049287696,204.70730250884478,67.92052005925068,-0.057512842334175085,-0.05544523702217986
-4778.686956521739,-3910.817391304348,-536.4869565217391,3129.7739130434784,7749.634782608696,1981.713043478261,4704.44912680236,5737.263978127508,4940.220318412912,21505.330432242463,16613.97579424762,23036.645116818225,6664.262463514526,6956.688367569605,4961.661813125325,21692.772164739672,18343.668854971995,23113.25622630028,35574.0,9501.608695652174,6.0,67808.0,21342.478260869564,30.0,6892.078819825454,9545.440143993623,98239362.85506305,1508635029.5097241,2.4582928827462642,2.5858479647664185,106.28571414300517,81.38374718599572,-0.05678938032768772,-0.05527847964784435
-3619.060869565217,-2116.3478260869565,168.34782608695653,7633.078260869565,3660.086956521739,-6900.678260869565,3801.33777948861,4823.221549717835,3766.101650118274,17416.038857718406,12769.388373275106,19261.62720849473,5266.013377020278,5261.7710524780205,3768.3578501724755,19001.578796190228,13232.960872135845,20434.7023569562,33921.0,6042.852173913044,1.0,69126.0,15213.91304347826,33.0,4405.997153538783,14837.781583248221,70730644.43756784,1436097042.3183873,5.727086822541465,4.234588887732842,224.81672696023205,161.56076787919505,-0.057254060050033764,-0.05712343107905383
-3429.3217391304347,-1907.513043478261,122.44347826086957,7672.165217391304,3070.4695652173914,-4685.730434782608,3533.1552356463867,4346.633887334868,3693.4961029472333,17845.18647920625,13484.665164469447,18488.813596384807,4916.171633541163,4757.1124709081205,3695.6401328192587,19400.405640985515,13842.81700094815,19057.854113199628,29801.0,5614.147826086956,50.0,56951.0,13941.652173913044,139.0,-700.8952677656291,-3962.176343464074,38826944.60148217,871775930.1691028,5.025109589433634,3.721744250159041,202.39248422900374,150.60580302252083,-0.055731838865878985,-0.05723878164021638
-3463.24347826087,-2168.417391304348,219.04347826086956,10466.678260869565,3508.304347826087,-5816.721739130435,3308.3589837077816,4153.761355823368,3375.2043735057755,19389.66437648738,13865.735274059934,20788.514721235293,4791.319084053721,4679.002121411564,3381.7575029406903,21969.34031385756,14315.145445357484,21555.832874492313,27503.0,5785.747826086957,68.0,64736.0,16869.53043478261,476.0,-497.2618305662906,14330.931842658247,75931626.18285818,1582534141.0585916,5.5931699105271475,3.5085678515596004,216.64041867423444,134.55935350700938,-0.05721794211536417,-0.056126783525538335
-4657.0,-2830.8,-1260.6173913043478,9835.321739130435,4261.678260869565,-2318.0782608695654,4169.083835339241,4900.252489466408,4954.9369460920325,23145.13570009824,20731.991919083343,23820.760736287317,6240.037465745942,5644.436967338804,5114.854982006481,25053.288339579038,21200.805506641365,23906.648289617646,34364.0,9369.095652173914,99.0,83848.0,29078.956521739132,71.0,3326.871966168114,16935.688251872158,20949371.92689858,1323149133.984672,2.8863689387644698,3.225279004176828,123.82303697632028,84.47051124860643,-0.055403634999007745,-0.05683377590967666
-3018.817391304348,-2776.2347826086957,710.1565217391304,8911.095652173914,6548.930434782608,-4757.391304347826,3512.7872357168376,4735.022924884357,3668.5666545659246,18076.900870776153,12058.027267333942,20893.977443820153,4569.068416133025,5434.3643914565055,3740.7153117389544,20296.568961280132,13635.490741635133,21496.486301355108,33463.0,5963.121739130434,8.0,64650.0,18599.817391304347,48.0,64.21780653282957,3824.393161651463,14434460.795197653,638468289.963416,6.616564287358554,2.448186304884178,237.35880510633643,99.2251383456059,-0.056703389387114014,-0.057191888217860976
